Segment	Country	Product	Discount Band	Units Sold	Manufacturing Price	Sale Price	Gross Sales	Discounts	 Sales	COGS	Profit	Date	Month Number	Month Name	Year
Midmarket	France	Paseo	None	549	10	15	8235	0	8235	5490	2745	9/1/2013 12:00:00 AM	9	September	2013
Small Business	Mexico	Paseo	None	788	10	300	236400	0	236400	197000	39400	9/1/2013 12:00:00 AM	9	September	2013
Midmarket	Mexico	Paseo	None	2472	10	15	37080	0	37080	24720	12360	9/1/2014 12:00:00 AM	9	September	2014
Government	United States of America	Paseo	None	1143	10	7	8001	0	8001	5715	2286	10/1/2014 12:00:00 AM	10	October	2014
Government	Canada	Paseo	None	1725	10	350	603750	0	603750	448500	155250	11/1/2013 12:00:00 AM	11	November	2013
Channel Partners	United States of America	Paseo	None	912	10	12	10944	0	10944	2736	8208	11/1/2013 12:00:00 AM	11	November	2013
Midmarket	Canada	Paseo	None	2152	10	15	32280	0	32280	21520	10760	12/1/2013 12:00:00 AM	12	December	2013
Government	Canada	Paseo	None	1817	10	20	36340	0	36340	18170	18170	12/1/2014 12:00:00 AM	12	December	2014
Government	Germany	Paseo	None	1513	10	350	529550	0	529550	393380	136170	12/1/2014 12:00:00 AM	12	December	2014
Government	Mexico	Velo	None	1493	120	7	10451	0	10451	7465	2986	1/1/2014 12:00:00 AM	1	January	2014
Enterprise	France	Velo	None	1804	120	125	225500	0	225500	216480	9020	2/1/2014 12:00:00 AM	2	February	2014
Channel Partners	Germany	Velo	None	2161	120	12	25932	0	25932	6483	19449	3/1/2014 12:00:00 AM	3	March	2014
Government	Germany	Velo	None	1006	120	350	352100	0	352100	261560	90540	6/1/2014 12:00:00 AM	6	June	2014
Channel Partners	Germany	Velo	None	1545	120	12	18540	0	18540	4635	13905	6/1/2014 12:00:00 AM	6	June	2014
Enterprise	United States of America	Velo	None	2821	120	125	352625	0	352625	338520	14105	8/1/2014 12:00:00 AM	8	August	2014
Enterprise	Canada	Velo	None	345	120	125	43125	0	43125	41400	1725	10/1/2013 12:00:00 AM	10	October	2013
Small Business	Canada	VTT	None	2001	250	300	600300	0	600300	500250	100050	2/1/2014 12:00:00 AM	2	February	2014
Channel Partners	Germany	VTT	None	2838	250	12	34056	0	34056	8514	25542	4/1/2014 12:00:00 AM	4	April	2014
Midmarket	France	VTT	None	2178	250	15	32670	0	32670	21780	10890	6/1/2014 12:00:00 AM	6	June	2014
Midmarket	Germany	VTT	None	888	250	15	13320	0	13320	8880	4440	6/1/2014 12:00:00 AM	6	June	2014
Government	France	VTT	None	1527	250	350	534450	0	534450	397020	137430	9/1/2013 12:00:00 AM	9	September	2013
Small Business	France	VTT	None	2151	250	300	645300	0	645300	537750	107550	9/1/2014 12:00:00 AM	9	September	2014
Government	Canada	VTT	None	1817	250	20	36340	0	36340	18170	18170	12/1/2014 12:00:00 AM	12	December	2014
Government	France	Amarilla	None	2750	260	350	962500	0	962500	715000	247500	2/1/2014 12:00:00 AM	2	February	2014
Channel Partners	United States of America	Amarilla	None	1953	260	12	23436	0	23436	5859	17577	4/1/2014 12:00:00 AM	4	April	2014
Enterprise	Germany	Amarilla	None	4219.5	260	125	527437.5	0	527437.5	506340	21097.5	4/1/2014 12:00:00 AM	4	April	2014
Government	France	Amarilla	None	1899	260	20	37980	0	37980	18990	18990	6/1/2014 12:00:00 AM	6	June	2014
Government	Germany	Amarilla	None	1686	260	7	11802	0	11802	8430	3372	7/1/2014 12:00:00 AM	7	July	2014
Channel Partners	United States of America	Amarilla	None	2141	260	12	25692	0	25692	6423	19269	8/1/2014 12:00:00 AM	8	August	2014
Government	United States of America	Amarilla	None	1143	260	7	8001	0	8001	5715	2286	10/1/2014 12:00:00 AM	10	October	2014
Midmarket	United States of America	Amarilla	None	615	260	15	9225	0	9225	6150	3075	12/1/2014 12:00:00 AM	12	December	2014
Government	France	Paseo	Low	3945	10	7	27615	276.15	27338.85	19725	7613.85	1/1/2014 12:00:00 AM	1	January	2014
Midmarket	France	Paseo	Low	2296	10	15	34440	344.4	34095.6	22960	11135.6	2/1/2014 12:00:00 AM	2	February	2014
Government	France	Paseo	Low	1030	10	7	7210	72.1	7137.9	5150	1987.9	5/1/2014 12:00:00 AM	5	May	2014
Government	France	Velo	Low	639	120	7	4473	44.73	4428.27	3195	1233.27	11/1/2014 12:00:00 AM	11	November	2014
Government	Canada	VTT	Low	1326	250	7	9282	92.82	9189.18	6630	2559.18	3/1/2014 12:00:00 AM	3	March	2014
Channel Partners	United States of America	Carretera	Low	1858	3	12	22296	222.96	22073.04	5574	16499.04	2/1/2014 12:00:00 AM	2	February	2014
Government	Mexico	Carretera	Low	1210	3	350	423500	4235	419265	314600	104665	3/1/2014 12:00:00 AM	3	March	2014
Government	United States of America	Carretera	Low	2529	3	7	17703	177.03	17525.97	12645	4880.97	7/1/2014 12:00:00 AM	7	July	2014
Channel Partners	Canada	Carretera	Low	1445	3	12	17340	173.4	17166.6	4335	12831.6	9/1/2014 12:00:00 AM	9	September	2014
Enterprise	United States of America	Carretera	Low	330	3	125	41250	412.5	40837.5	39600	1237.5	9/1/2013 12:00:00 AM	9	September	2013
Channel Partners	France	Carretera	Low	2671	3	12	32052	320.52	31731.48	8013	23718.48	9/1/2014 12:00:00 AM	9	September	2014
Channel Partners	Germany	Carretera	Low	766	3	12	9192	91.92	9100.08	2298	6802.08	10/1/2013 12:00:00 AM	10	October	2013
Small Business	Mexico	Carretera	Low	494	3	300	148200	1482	146718	123500	23218	10/1/2013 12:00:00 AM	10	October	2013
Government	Mexico	Carretera	Low	1397	3	350	488950	4889.5	484060.5	363220	120840.5	10/1/2014 12:00:00 AM	10	October	2014
Government	France	Carretera	Low	2155	3	350	754250	7542.5	746707.5	560300	186407.5	12/1/2014 12:00:00 AM	12	December	2014
Midmarket	Mexico	Montana	Low	2214	5	15	33210	332.1	32877.9	22140	10737.9	3/1/2014 12:00:00 AM	3	March	2014
Small Business	United States of America	Montana	Low	2301	5	300	690300	6903	683397	575250	108147	4/1/2014 12:00:00 AM	4	April	2014
Government	France	Montana	Low	1375.5	5	20	27510	275.1	27234.9	13755	13479.9	7/1/2014 12:00:00 AM	7	July	2014
Government	Canada	Montana	Low	1830	5	7	12810	128.1	12681.9	9150	3531.9	8/1/2014 12:00:00 AM	8	August	2014
Small Business	United States of America	Montana	Low	2498	5	300	749400	7494	741906	624500	117406	9/1/2013 12:00:00 AM	9	September	2013
Enterprise	United States of America	Montana	Low	663	5	125	82875	828.75	82046.25	79560	2486.25	10/1/2013 12:00:00 AM	10	October	2013
Midmarket	United States of America	Paseo	Low	1514	10	15	22710	227.1	22482.9	15140	7342.9	2/1/2014 12:00:00 AM	2	February	2014
Government	United States of America	Paseo	Low	4492.5	10	7	31447.5	314.475	31133.025	22462.5	8670.525	4/1/2014 12:00:00 AM	4	April	2014
Enterprise	United States of America	Paseo	Low	727	10	125	90875	908.75	89966.25	87240	2726.25	6/1/2014 12:00:00 AM	6	June	2014
Enterprise	France	Paseo	Low	787	10	125	98375	983.75	97391.25	94440	2951.25	6/1/2014 12:00:00 AM	6	June	2014
Enterprise	Mexico	Paseo	Low	1823	10	125	227875	2278.75	225596.25	218760	6836.25	7/1/2014 12:00:00 AM	7	July	2014
Midmarket	Germany	Paseo	Low	747	10	15	11205	112.05	11092.95	7470	3622.95	9/1/2014 12:00:00 AM	9	September	2014
Channel Partners	Germany	Paseo	Low	766	10	12	9192	91.92	9100.08	2298	6802.08	10/1/2013 12:00:00 AM	10	October	2013
Small Business	United States of America	Paseo	Low	2905	10	300	871500	8715	862785	726250	136535	11/1/2014 12:00:00 AM	11	November	2014
Government	France	Paseo	Low	2155	10	350	754250	7542.5	746707.5	560300	186407.5	12/1/2014 12:00:00 AM	12	December	2014
Government	France	Velo	Low	3864	120	20	77280	772.8	76507.2	38640	37867.2	4/1/2014 12:00:00 AM	4	April	2014
Government	Mexico	Velo	Low	362	120	7	2534	25.34	2508.66	1810	698.66	5/1/2014 12:00:00 AM	5	May	2014
Enterprise	Canada	Velo	Low	923	120	125	115375	1153.75	114221.25	110760	3461.25	8/1/2014 12:00:00 AM	8	August	2014
Enterprise	United States of America	Velo	Low	663	120	125	82875	828.75	82046.25	79560	2486.25	10/1/2013 12:00:00 AM	10	October	2013
Government	Canada	Velo	Low	2092	120	7	14644	146.44	14497.56	10460	4037.56	11/1/2013 12:00:00 AM	11	November	2013
Government	Germany	VTT	Low	263	250	7	1841	18.41	1822.59	1315	507.59	3/1/2014 12:00:00 AM	3	March	2014
Government	Canada	VTT	Low	943.5	250	350	330225	3302.25	326922.75	245310	81612.75	4/1/2014 12:00:00 AM	4	April	2014
Enterprise	United States of America	VTT	Low	727	250	125	90875	908.75	89966.25	87240	2726.25	6/1/2014 12:00:00 AM	6	June	2014
Enterprise	France	VTT	Low	787	250	125	98375	983.75	97391.25	94440	2951.25	6/1/2014 12:00:00 AM	6	June	2014
Small Business	Germany	VTT	Low	986	250	300	295800	2958	292842	246500	46342	9/1/2014 12:00:00 AM	9	September	2014
Small Business	Mexico	VTT	Low	494	250	300	148200	1482	146718	123500	23218	10/1/2013 12:00:00 AM	10	October	2013
Government	Mexico	VTT	Low	1397	250	350	488950	4889.5	484060.5	363220	120840.5	10/1/2014 12:00:00 AM	10	October	2014
Enterprise	France	VTT	Low	1744	250	125	218000	2180	215820	209280	6540	11/1/2014 12:00:00 AM	11	November	2014
Channel Partners	United States of America	Amarilla	Low	1989	260	12	23868	238.68	23629.32	5967	17662.32	9/1/2013 12:00:00 AM	9	September	2013
Midmarket	France	Amarilla	Low	321	260	15	4815	48.15	4766.85	3210	1556.85	11/1/2013 12:00:00 AM	11	November	2013
Enterprise	Canada	Carretera	Low	742.5	3	125	92812.5	1856.25	90956.25	89100	1856.25	4/1/2014 12:00:00 AM	4	April	2014
Channel Partners	Canada	Carretera	Low	1295	3	12	15540	310.8	15229.2	3885	11344.2	10/1/2014 12:00:00 AM	10	October	2014
